oid,name,name_en,type,country,address_manual,home,district,subdistrict,town,street,addressline,metro,metro_line,metro_distance,metro_shirota,metro_dolgota,phone,www,email,description,description_en,obj_history,obj_history_en,work_time,for_disabled,coord_shirota,coord_dolgota,ogrn,inn
4171,"Государственный Эрмитаж, Реставрационно-хранительский центр ""Старая деревня""","The State Hermitage Museum,The Staraya Derevnya Restoration and Storage Centre",гос. федеральное учреждение,Россия,"197228, Санкт-Петербург, Заусадебная ул., 37",37а,Приморский район,муниципальный округ Озеро Долгое,Санкт-Петербург,Заусадебная улица,"Санкт-Петербург, Заусадебная улица, 37а",Старая Деревня,Фрунзенско-Приморская линия,0,59.989238,30.255178,+7(812)3401026;,www.hermitagemuseum.org,porcelainmuseum@hermitage.ru,"Современный реставрационно-хранительский центр Государственного Эрмитажа расположен в районе ""Старая Деревня"". В настоящий момент он включает три здания: Административный, Фондовый и Инженерный корпуса. Уникальность этого музейного проекта заключается в создании условий для экскурсионного посещения эрмитажного Фондохранилища.","The Hermitage's modern restoration and storage centre is located in the Staraya Derevnya district of St Petersburg. At present it comprises three buildings for Administration, Storage and Engineering.The unique feature of this museum project is the creation of conditions suitable for visits to the Hermitage Storage Facility by tour groups",,,"среда – воскресенье по сеансам:
11.00, 13.00, 13.30, 15.30
Посещение возможно только с экскурсионным обслуживанием по предварительной записи по тел.
340-10-26
Музей закрыт: 1 января, 9 мая",0,59.989049,30.264152,1037843031808,7830002416
4172,Зоологический музей Зоологического института Российской академии наук,Zoology Museum of the Russian Academy of Sciences Zoology Institute,гос. федеральное учреждение,Россия,"199034, Санкт-Петербург, Университетская наб., 1",1,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,Университетская набережная,"Санкт-Петербург, Университетская набережная, 1",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,"Телефон для справок +7(812)3280112; Телефон/факс, заказ экскурсий: +7 (812) 320-97-04",www.zin.ru/museum,museum@zin.ru,"Зоологический музей Зоологического института Российской Академии Наук основан в 1832 г. на базе зоологических коллекций Натурального кабинета Кунсткамеры.Коллекция различных типов животных, представленная в Зоологическом музее РАН, насчитывает примерно 30 000 экспонатов и является одной из трех крупнейших в мире.","The Museum of the Zoological Institute of the Russian Academy of Sciences is the largest zoological museum in Russia and one of the largest in the world. Nearly 30 000 specimens of animals from all over the world are displayed in the Museum. The collection was started over 250 years ago, but has only been open to visitors since 1901.",,,"Ежедневно с 11.00 до 18.00, кроме вторника, второй СРЕДЫ месяца и общегосударственных праздничных дней. 
Касса открыта до 16.50.
В дни осенних и весенних школьных каникул музей работает без выходных дней.",0,59.942101,30.305277,1027800535091,7801043337
4173,Историко-культурный музейный комплекс в Разливе,Museum Complex in Razliv,гос. районное учреждение,Россия,"197701, Санкт-Петербург, станция Разлив, ул. Емельянова, 3",,Курортный район,,Санкт-Петербург,,"Санкт-Петербург, платформа Разлив",,,1.0,,,+7(812)4346145;,www.razlivmuseum.spb.ru,4346145@mail.ru,"Историко-культурный музейный комплекс в Разливе включает в себя два музея (""Шалаш В.И. Ленина"" и ""Сарай Н.А. Емельянова""), объединенных общей тематикой - последнее подполье В.И. Ленина в июле-августе 1917 г.","Saint-Petersburg State Institution of Culture ""Historical cultural museum complex in Razliv"" involves two museums - ""Shalash"" (the word ""shalash"" means the shelter of brunches and hay) and ""Sarai"" (the wooden shed) - united with the common theme: the last V.I. Lenin's underground in July-August of 1917.",,,"Музей ""Шалаш"":
С сентября по октябрь и с марта по май: ежедневно с 10 до 18 часов
с июня по август с 10.00 до 19.00
с ноября по февраль с 11.00 до 17.00
По четвергам музей работает с 13.00!
Выходной день — среда.

Музей ""Сарай"":
с 10.00 до 18.00 по рабочим дням, кроме среды
с 11.00 до 18.00 по выходным и праздничным дням
В летний период с 1 июня по 31 августа - с 10 до 19 часов (касса открыта до 18.30).
Выходной день — среда.",0,60.078069,29.968579,1057811776417,7843301928
4174,Историко-литературный музей г. Пушкина,Literary and Historical Museum of the Town of Pushkin,гос. районное учреждение,Россия,"196600, Санкт-Петербург, г.Пушкин, ул. Леонтьевская, 28",28,Пушкинский район,,Санкт-Петербург,Леонтьевская улица,"Санкт-Петербург, Пушкин, Леонтьевская улица, 28",,,1.0,,,+7(812)4665510;,http://www.pushkin-town.net/.pushkin/rus/museum.htm,traktir1914@mail.ru,"Музей был открыт в 1977 году в Запасном дворце. В 1986 году музею передано здание Городского управления. Имеет  – 30 тысяч единиц хранения по тематике, связанной с историей Царского Села, жизнью исторических деятелей, в нем проживавших.",The museum was opened in 1977 in Zapasnoy Palace. It contains more than 30 000 items telling about the history of Tzarskoe Selo and the life of historical figures who were its residents.,,,"Открыт ежедневно, кроме четверга и пятницы, с 10.00 до 17.00.",0,59.721093,30.405035,1027809001912,7820018801
4175,"Историко-мемориальный музей ""Смольный""","State History and Memorial Museum ""Smolny""",гос. городское учреждение,Россия,"191124, Санкт-Петербург, Смольный проезд, 1, лит. б",1б,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,Смольный проезд,"Санкт-Петербург, Смольный проезд, 1б",Новочеркасская,Правобережная линия,0,59.928893,30.411925,+7(812)5767461; +7(812)5767746;,http://www.museum.ru/m109,smolny300@mail.ru,"Государственное учреждение ""Санкт-Петербургский историко-мемориальный музей ""Смольный"" создан 28.12.1991 г. Центром музея явялется мемориальная экспозиция, открытая в здании Смольного в ноябре 1927 г.Музей ""Смольный"" рассказывает об истории здания, которое приобрело всемирную известность как штаб революции 1917 г.","The complex of the museum includes the historical rooms, where the main revolutionary events took place in 1917, among them the famouse assambly hall, where the victory of the October revolution was proclaimed in 1917; Lenin's office and living rooms. The visitors can also see the exhibition of ""Smolny institute for the girls of noble birth"": the atmosphere of the institute was restored in 1994, to the 230 annivessary of Smolny institute",,,"C 10.00 до 18.00, в пятницу с 15.00; выходные - суббота, воскресенье.
Обслуживание только экскурсионное, по предварительным заявкам.
Необходимо иметь при себе паспорт.",0,59.949208,30.392854,1047844026933,7825453621
4176,"Историко-мемориальный музей ""Смольный"", Музей-квартира Аллилуевых","State History and Memorial Museum ""Smolny"". Memorial Apartment of Alliluev Family",гос. городское учреждение,Россия,"191144, Санкт-Петербург, 10-я Советская ул., 17, кв.20",17,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,10-я Советская улица,"Санкт-Петербург, 10-я Советская улица, 17",Площадь Восстания,Кировско-Выборгская линия,0,59.931517,30.360559,+7(812)2712579;,http://www.museum.ru/m177,smolny@museum.gov.spb.ru,"В Музее-квартире Аллилуевых рассказывается о жизни семьи, которая оказалась причастна к революционным событиям 1917 года. В июле 1917 г. их квартира стала конспиративным убежищем В.И. Ленина. В квартире Аллилуевых с августа 1917 г. до марта 1918 г. жил И.В. Сталин, ставший впоследствии мужем младшей дочери Аллилуевых Надежды.","Apartment Museum of the Alliluevs is one of the branches of the State Establishment: ""Saint Petersburg historical Memorial Museum of ""Smolny"".The Museum is devoted to the life of the Alliluevs, which was connected with the revolutionary events of Russia in 1917. It was a flat, where V.I.Lenin lived illegally for several days in July 1917. Then I.V.Stalin lived there since August 1917 until March 1918.",,,"Ежедневно с 10.00 до 18.00, кроме среды и воскресенья. Только экскурсионное обслуживание",0,59.936079,30.381445,1047844026933,7825453621
4177,"Историко-мемориальный музей ""Смольный"", Музей-квартира Елизаровых","State History and Memorial Museum ""Smolny"". Memorial Apartment of Elizarov Family",гос. городское учреждение,Россия,"197136, Санкт-Петербург, ул. Ленина, 52, кв. 24",52,Петроградский район,муниципальный округ Чкаловское,Санкт-Петербург,улица Ленина,"Санкт-Петербург, улица Ленина, 52",Чкаловская,Фрунзенско-Приморская линия,0,59.961138,30.292018,+7(812)2353778;,http://www.museum.ru/m176,"smolny@museum.gov.spb.ru, smolny300@mail.ru","Музей был открыт 6 ноября 1927 г. как мемориальная квартира В. И. Ленина. Это один из старейших в стране ленинских музеев. В 1990 г. переименован в ""Музей-квартиру Елизаровых"".","The museum was first opened to the public as a memorial apartnent of V.I.Lenin. It is one of the oldest Lenin museums  in the country. In 1990 it was renamed to a ""Memorial Apartment of Elizarov Family"" . The name derives from the former owners of the apartment.",,,"C 09.30 до 18.00, выходные: среда, воскресенье. 
Только экскурсионное обслуживание по предварительной договоренности",0,59.965476,30.295252,1027800535091,782501001
4178,Историко-технический музей развития высокочастотного и ультразвукового оборудования ВНИИТВЧ им. В.П. Вологдина,The History-Technical Museum of the Development of the High-Frequency and Ultrasonic Equipment of the Vologodin National High-Frequency Current  Research Institute,ведомственное учреждение,Россия,"194362, Санкт-Петербург, Парголово, Шуваловский парк, 1",,Выборгский район,,Санкт-Петербург,,"Санкт-Петербург, Шуваловский парк, 1а",Парнас,Московско-Петроградская линия,0,60.06685,30.333996,+7(812)5138714;,www.vniitvch.ru/v_museum.shtml,sales@vniitvch.ru,"Музей истории развития высокочастотного и ультразвукового оборудования ВНИИТВЧ им.В.П.Вологдина создан в 1978 году.Музей расположен в Большом дворце в Шуваловском парке бывшего имения Шуваловых. Комплекс зданий и сооружений и Шуваловский парк, составляют единое целое и являются ансамблем памятников архитектуры и садово-паркового искусства ХVIII века федерального значения, включены в список всемирного наследия ЮНЕСКО","The museum was established in 1978. It is situated in a Bolshoy Palace in Shuvalovsk Park, the former residence of a noble Shuvalov family. The palace and the park are included to the UNESCO list of the World Heritage Sites.",,,По договоренности,0,60.077557,30.304127,1037804005832,7802030958
4179,Историко-технический музей Санкт-Петербургского государственного политехничкского университета,The History-Technical Museum of St. Petersburg Technical University,гос. федеральное учреждение,Россия,"195251, Санкт-Петербург, Политехническая ул., 29, корп. 2",29к2,Калининский район,муниципальный округ Академический,Санкт-Петербург,Политехническая улица,"Санкт-Петербург, Политехническая улица, 29к2",Политехническая,Кировско-Выборгская линия,0,60.008842,30.370854,"+7(812)5454179;
Запись на экскурсии: +7 (812) 249-42-91",www.spbstu.ru/museum/museum.html,museum@spbstu.ru,"История Историко-технического музея СПГТУ начинается со дня основания института. Экспонаты, оставшиеся от Электротехнического института послужили основой для Музея истории института, который с 1985 г. носит названия Историко-технического музея и представляет собой музейный комплекс, в который входит галерея ученых СПбГТУ, два памятника, 23 мемориальные доски, а также ряд экспозиций. Разнообразные коллекции музея составляются из предметов, имеющих непосредственное отношение к вузу","The Museum was organized at the Electromechanical Department of Leningrad Politechnical Institute as Electromechanical Museum. Prof. M. Shatelen became its initiator. In 1976 on the base of this Museum the Museum of History and Technical of St.Petersburg state Technical University was organized. The Museum consists of several expositions, gallery of scientists, monuments and memorial pllagues. The funds of the Museum have nearly 45000 keeping units. Personal funds of scientists make a base of the collections. Many valuable exhibits are placed in the fund of apparatus, documentary and photo funds.",,,"Часы работы: Пн-Пт 10:00- 17:00, СБ-ВС - выходной",0,60.004879,30.37751,1027802505279,7804040077
4180,Кабинет-музей Н.И. Вавилова ВНИИ растениеводства им. Н.И. Вавилова,N.I. Vavilov Museum Cabinet at the  N.I. Vavilov Research Institute of Plant Industry,гос. федеральное учреждение,Россия,"190000, Санкт-Петербург, Большая Морская ул.,42-44",44,Адмиралтейский район,муниципальный округ Адмиралтейский,Санкт-Петербург,Большая Морская улица,"Санкт-Петербург, Большая Морская улица, 44",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,+7(812)312-51-61,www.vir.nw.ru,kancelyariya@vir.nw.ru,"Мемориальный кабинет-музей Н.И. Вавилова во Всероссийском НИИ растениеводства, носящем с 1967 г. имя Н. И. Вавилова, был открыт 25 ноября 1980 г. Мемориальный кабинет-музей представляет экспозицию подлинной обстановки рабочего кабинета Николая Ивановича - большой рабочий письменный стол, на нем письменный прибор, настольная лампа, телефонный аппарат того времени; массивное старинное кресло, подлинный декоративный экран, закрывающий раковину, сохранившийся в этом помещении с середины XIX века.","The memorial cabinet was firt opened in 1980. The exposition shows the authentic interior of the great scientist's cabinet. Many interesting items of the 19th and 20th centuries can be seen here, along with the documents and photographs.",,,Посещение музея бесплатное по договоренности.,0,59.93181,30.306894,1037739549748,7736099129
4181,Краеведческий музей г. Ломоносова,Lomonosov Museum of Local History,гос. районное учреждение,Россия,"198512, Санкт-Петербург, г.Ломоносов, ул. Еленинская, 25",25,Петродворцовый район,,Санкт-Петербург,Еленинская улица,"Санкт-Петербург, Ломоносов, Еленинская улица, 25",,,1.0,,,+7 (812) 422-78-14,http://lomonosov-museum.ru,info@lomonosov-museum.ru,"Краеведческий музей был основан на базе ""Комнаты боевой славы"" при районном Доме культуры в 1969 году. В 1974 г. он получил статус музея. С 1990 г. музей располагается в историческом центре Ломоносова в здании - памятнике архитектуры местного значения. Музей обладает интересным фондом экспонатов и историческим архивом, собранным несколькими поколениями сотрудников. С 1998 г. в музее работает временная экспозиция ""Страницы летописи истории Ораниембаума - Ломоносова"". На ней представлены выставки ""Великий россиянин"" о М.В.Ломоносове и Усть-Рудицкой фабрике, ""Интерьер квартиры горожанина конца XIX - начала ХХ века"", ""Храмы Ораниембаума в фотографиях и открытках"", ""Певец русской сцены"" о Федоре Стравинском и другие выставки о прошлом и настоящем города Ломоносова.",Lomonosov Museum of Local History was founded in 1969. Today it is situated in a historical building and contains a large number of exhibits connected to the history of Oranienbaum-Lomonosov.,,,"ВТ, СР, ЧТ, СБ: с 11:00 до 18:00
ПТ: с 14:00 до 19.00
Выходные дни: Вс, Пн
Последний вторник месяца: санитарный день
ВТ: без экскурсионного сопровождения",0,59.913821,29.772558,1024702184869,4720016040
4182,"Ледокол ""Красин"", филиал Музея Мирового океана в г. Калининграде","The Icebreaker ""Krasin"" Museum",гос. федеральное учреждение,Россия,"199106, Санкт-Петербург, наб. Лейтенанта Шмидта, у 23-й линии В.О.",,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,набережная Лейтенанта Шмидта,"Санкт-Петербург, набережная Лейтенанта Шмидта",Василеостровская,Невско-Василеостровская линия,0,59.942516,30.278274,+7 (812) 325-35-46,www.krassin.ru,krassin@mail.ru,"""Красин"" - ледокол, символизирующий собой целую эпоху в истории нашей страны. Для всех петербуржцев и гостей города это необычный и популярный музей. Посетив его, можно прикоснуться к живой истории и почувствовать настоящую романтику полярных исследований.","Built in Great Britain in 1917, the icebreaker Krasin has had an eventful, but difficult career. Originally named Svyatogor, after a mythical Russian warrior, the ship has lived up to this name, in terms of her power and heroic deeds.Today the legendary icebreaker Krasin is a floating museum and visitors are warmly welcomed on board.",,,"Ежедневно с 11.00 до 18.00, кроме понедельника, вторника и последней среды месяца. Экскурсии - с 11.00 до 17.00. Касса работает до 17:00",0,59.933649,30.277151,1047844013656,7815027504
4183,Литературно-мемориальный музей Ф.М. Достоевского,The F.M.Dostoevsky Literary-Memorial Museum,гос. городское учреждение,Россия,"191002, Санкт-Петербург, Кузнечный пер., 5/2",5,Центральный район,муниципальный округ Владимирский,Санкт-Петербург,Кузнечный переулок,"Санкт-Петербург, Кузнечный переулок, 5",Владимирская,Кировско-Выборгская линия,0,59.927464,30.348172,"справки о работе музея: (+7 812) 571 40 31 (по будням с 11.00 до 17.00), +7 921 977 43 00
заказ экскурсий: по тел. (+7 812) 571 40 31 (по будням с 11.00 до 17.00) или имейлу dostoevsky.museum@gmail.com",www.md.spb.ru,dostoevsky.museum@gmail.com,Литературно-мемориальный музей Ф.М.Достоевского был открыт к 150-летию со дня рождения писателя в 1971 году. В этом доме была его последняя квартира. Здесь написан роман «Братья Карамазовы».,"The Literary-Memorial Museum of F.M.Dostoevsky was opened in 1971, for the 150-year anniversary since the birth of the author. In this house was his last apartment. The novel ""Brothers Karamazov"" was written here.",,,"понедельник: выходной
вторник: с 11.00 до 18.00*
среда: с 13.00 до 20.00*
четверг: с 11.00 до 18.00*
пятница: с 11.00 до 18.00*
суббота: с 11.00 до 18.00*
воскресенье: с 11.00 до 18.00*

*касса закрывается за 30 мин. до закрытия музея",0,59.927216,30.350947,1027809232362,7825705438
4184,Здание Таможни (Пушкинский дом),Institute of Russian Literature (the Pushkin House),гос. федеральное учреждение,Россия,"199034, Санкт-Петербург, наб. Макарова, 4",4,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,набережная Макарова,"Санкт-Петербург, набережная Макарова, 4",Спортивная,Фрунзенско-Приморская линия,0,59.951772,30.290688,+7(812)3280502; +7(812)3281901 доб 161;,www.pushkinskijdom.ru,litmuseumirli@mail.ru,"Литературный музей Пушкинского Дома является первым и самым крупным национальным общелитературным музеем - в его собрании хранится свыше 300 тысяч единиц изобразительных, документальных и историко-бытовых материалов, относящихся к русской литературе XVIII-XX вв. Музейные залы с окнами на Малую Неву едва вмещают сотую часть фондов.","The Literary museum of the Institute of Russian Literature (the Pushkin House) RAS is the first and the largest national literary museum in Russia. It was founded in 1905. There are more than 200 thousand works of art, documental and everyday-historical things related to Russian literature of 19-20 centuries. Аlso thеre is the greatest collection of personal belongings of Russian writers and poets, such as Alexander Pushkin, Vasily Zhukovsky, Nikolai Gogol, Mikhail Lermontov, Leo Tolstoy, Ivan Turgenev, Fyodor Dostoevsky and others .",,,Понедельник-пятница с 11.00 до 16.00; санитарный день - последняя пятница каждого месяца,0,59.944697,30.301684,5067847506183,7801421363
4185,"Мемориальный музей ""Разночинный Петербург""",Memorial museum “Raznochinny Petersburg”!,гос. городское учреждение,Россия,"191180, Санкт-Петербург, Большой Казачий пер., 7 кв. 13",7,Адмиралтейский район,муниципальный округ Семеновский,Санкт-Петербург,Большой Казачий переулок,"Санкт-Петербург, Большой Казачий переулок, 7",Пушкинская,Кировско-Выборгская линия,0,59.920614,30.329864,+7(812)4075220,www.spbmmrp.ru/,4075220@gmail.com,"Основная тематика музея - история ""непарадного Петербурга"". Музей берет свое начало в 1924 году с ""уголка Ильича"", созданного в память В.И. Ульянова (Ленина). В 1992 г. музей-квартира В. И. Ленина была реорганизована в Музей истории революционно-демократического движения. В 2006 г. с открытием новых экспозиций музей получил название ""Разночинный Петербург"".","The Museum is situated in historically rich part of Saint-Petersburg on Bolshoy Kazachy lane in the block formed by Fontanca River, Gorohovaya St. and Zagorodny Prospect. This place used to call ""Semenovsky Polk Sloboda"", because Semenovsky Life-Guards regiment had headquarters here from the middle of XVIII to the beginning of XX century. This place was a part of ""Moscow district"" before revolution, now - the part of Admiralty district. The area o is connected with life and activity of many representatives of liberal and democratic movement in Russian society all throw XIX century. Most of them were so called ""raznochintsy"" - people from different social strata's of hierarchical society who got education and earn their livings by some sort of intellectual job.",,,"Для посетителей музей работает
со вторника по субботу
с 11.00 до 17.00

Выходные дни: воскресенье, понедельник;
санитарный день - последний четверг каждого месяца.",0,59.923311,30.327465,1027810338489,7826106980
4186,"Мемориальный музей А.С. Попова Санкт-Петербургского государственного электротехнического университета ""ЛЭТИ"" им. В.И. Ульянова (Ленина)","Memorial Museum of A.S. Popov at the Saint Petersburg Electrotechnical University ""LETI""",гос. федеральное учреждение,Россия,"197376, Санкт-Петербург, ул. Профессора Попова, 5, лит. г",5,Петроградский район,муниципальный округ Аптекарский Остров,Санкт-Петербург,улица Профессора Попова,"Санкт-Петербург, улица Профессора Попова, 5",Петроградская,Московско-Петроградская линия,0,59.966394,30.311502,+7(812)2345900;,http://www.eltech.ru/ru/universitet/istoriya-universiteta/memorialnyy-muzey-as-popova,lizolotinkina@mail.eltech.ru; radioemc@yandex.ru,"Мемориальный музей-лаборатория А.С. Попова был открыт 27 июня 1948 г. В музее-лаборатории посетители могут проследить жизненный путь А.С. Попова (1859 – 1906), основные события в развитии электро- и радиотехники в России и в мире в конце XIX - начале ХХ вв. В экспозиции демонстрируется более 30 уникальных экспонатов: измерительные приборы, лабораторное оборудование, образцы серийной аппаратуры беспроволочного телеграфирования.","POPOV MEMORIAL MUSEUM  was established in 1967 in the buildings of LETI Electrotechnical University (Leningrad Electrotechnical Institute). It unites the scholar’s laboratory and Popov’s Apartment Museum. The original interiors of the living room, the dining room, and the work study have survived in the five-room Apartment Museum. The flat is located in the House for Lecturers of Electrotechnical Institute designed by architect A. N. Vekshinsky. The collection numbers over 2,000 articles and objects. The museum laboratory was opened in 1948 in the former physical laboratory of the Electrotechnical Institute. The exhibition shows physical instruments, which belonged to Popov, his laboratory equipment, ship apparatuses of wireless telegraphy, and documents.",,,"Открыт для посетителей ежедневно, кроме субботы и воскресенья с 11-00 до 16-30.
Экскурсии по предварительным заявкам.",0,59.971064,30.320036,1027806875381,7813045402
4187,Мемориальный музей-квартира академика И.П. Павлова Института физиологии им. И.П. Павлова Российской Академии наук,Academician Ivan P. Pavlov's  Memorial Museum-Apartment. Pavlov Institute of Physiology.  Russian Academy of Sciences,гос. федеральное учреждение,Россия,"199034, Санкт-Петербург, 7-я линия В.О., 2",2,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,7-я линия В.О.,"Санкт-Петербург, 7-я линия В.О., 2",Василеостровская,Невско-Василеостровская линия,0,59.942516,30.278274,+7(812)3237234;,www.museum.infran.ru,museum@infran.ru,"Мемориальный музей академика И.П.Павлова был открыт в 1949 г. к 100-летию со дня рождения ученого в квартире, где он прожил последние 18 лет с 1918 по 1936 гг. Полностью сохраненное в оригинальном виде убранство квартиры позволяет не только почувствовать атмосферу павловской домашней жизни, но и дух эпохи, представляя собой подлинный образец быта российской интеллигенции тех лет.",Ivan P. Pavlov Memorial museum was opened in 1949 on the occasion of Pavlov's 100-anniversary. The Museum is located in the apartment in which this great scientist lived for the last 18 years of life? from 1918 to 1936/ The whole interior of this apartment is preserving the atmosphere not only of Pavlov's family but also the entire epoch. It represents an authentic example of the mode of life of Russian intelligentsia of that time.,,,"11.00 до 17.00 Только экскурсионное обслуживание по предварительной договоренности. Выходные дни - суббота, воскресенье
Стоимость экскурсии 3000 рублей, школьники, студенты, пенсионеры - 1500 рублей.",0,59.936638,30.285676,1024700001853,4703019919
4188,"Мемориальный музей-квартира П.К. Козлова, Санкт-Петербургский филиал Института истории естествознания и техники им. С.И. Вавилова Росcийской академии наук",P.K. Kozlov Memorial Museum at the Institute for the History of Science & Technology at the Russian Academy of Sciences (Saint Petersburg Branch).,гос. федеральное учреждение,Россия,"191124, Санкт-Петербург, Смольный пр., 6, кв. 32",6,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,Смольный проспект,"Санкт-Петербург, Смольный проспект, 6",Новочеркасская,Правобережная линия,0,59.928893,30.411925,+7(812)5771243; +7(812)7100350;,www.kozlov-museum.ru,"kozlov.museum@mail.ru, pkkozlovmuseum@gmail.com","Пётр Кузьмич Козлов (1863–1935) – путешественник-исследователь Центральной Азии (Монголия, Китай и Тибет), ученик и сподвижник Н.М. Пржевальского, участник шести больших экспедиций, три из которых организовал и возглавлял лично.Музей П.К. Козлова помещается в старом петербургском доходном доме, рядом со Смольным, в просторной семикомнатной квартире.Среди экспонируемых предметов – архивные документы, дневники, письма, книги, географические карты, рисунки и фотографии, личные вещи П.К. Козлова, свидетельствующие о великой эпохе научного освоения Россией центральноазиатского региона.","Petr Kuzmich Kozlov (1863-1935) is one of the Russian pioneer travelers in Central Asia (Mongolia, China and Tibet).he Kozlov Museum is located in the building which is next door to the city administration quarters, the Smolny. It is accommodated in a suite of rooms in the apartment where Kozlov had lived with his wife.The items on display in the museum are mainly the things Kozlov used during his travels, such as wooden trunks, leather bags, various measuring instruments, binoculars, a medical chest, a toilet-case, etc.",,,"Вторник, пятница (только по предварительным заявкам для групп) 12:00-18:00
Среда, Четверг (для одиночных посетителей и групп) 12:00-18:00
Касса музея закрывается на час раньше.
Для всех посетителей необходима предварительная запись по тел. 8 (812) 710-03-50, 8 (812) 577-12-43

Выходные дни: понедельник, суббота, воскресенье
Санитарный день: последняя пятница месяца.",0,59.944612,30.394462,1027739720623,7710026422
4189,Метеорологический музей Главной геофизической обсерватории им. А.И. Воейкова,Meteorological Museum  of the A.I. Voyeikov Central Geophysical Observatory,гос. федеральное учреждение,Россия,"194021, Санкт-Петербург, ул. Карбышева, 7",7,Выборгский район,муниципальный округ Светлановское,Санкт-Петербург,улица Карбышева,"Санкт-Петербург, улица Карбышева, 7",Лесная,Кировско-Выборгская линия,0,59.984719,30.344237,8 (812) 297-43-90,http://voeikovmgo.ru/index.php?option=com_content&view=article&id=37:meteorologicheskij-muzej-glavnoj-geofizicheskoj-observatorii&catid=20:deyatelnost&Itemid=21&lang=ru,istpo@main.mgo.rssi.ru,"Музей представляет собой коллекцию приборов, применявшихся для метеорологических наблюдений с начала организации систематических наблюдений (с 1843 г.), а также собрание документов, результатов наблюдений и научных обобщений по основным разделам метеорологии и по крупным прикладным исследованиям с разработкой их теоретических обоснований. В коллекции музея представлена галерея портретов учёных Главной геофизической обсерватории, внесших наиболее существенный вклад в развитие метеорологической службы России.",The museum obtains a collection of meteorogical instruments dating back to 1843 and a number of documents of the meteorological studies.,,,Экскурсии по Музею проводятся строго по предварительным заявкам по факсу  8 (812) 297-86-61 или электронной почте   director@main.mgo.rssi.ru.,0,59.991745,30.351118,1034700574248,4703014660
4190,Метрологический музей при ФГУП Всероссийском научно-исследовательском институте метрологии им. Д.И. Менделеева,Meteorological Museum at the National D.I.Mendeleev Meteorology Research Institute,гос. федеральное учреждение,Россия,"190005, Санкт-Петербург, Московский пр., 19",19,Адмиралтейский район,муниципальный округ Измайловское,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 19",Технологический Институт,Кировско-Выборгская линия,0,59.916437,30.318788,+7(812)3239676; +7(812)2517601,www.vniim.ru,info@vniim.ru,"Метрологический музей находится в центре Санкт-Петербурга (Московский пр., 19), в, в старейшем метрологическом учреждении России - Всероссийском научно-исследовательском институте метрологии им. Д.И.Менделеева. Здесь собраны уникальные памятники истории метрологии: отечественные и зарубежные образцовые меры, весы, измерительные приборы, редкие архивные документы и фотоматериалы, литературные источники ХVШ-ХХ вв.","The Metrological Museum of Gosstandart of Russia is located in the oldest metrological establishment of Russia, D.I.Mendeleyev Institute for Metrology, in the center of St.Petersburg (19, Moskovsky prospect). It possesses unique monuments of the history of metrology: Russian and foreign reference measures, balances, measuring instruments, rare archive documents and photos, books of the 18-20-th centuries.",,,"Ежедневно с 10.00 до 17.00, кроме субботы и воскресенья. Только экскурсионное обслуживание по предварительной договоренности",0,59.917118,30.316874,1027810219007,7809022120
4191,"Музей ""Анна Ахматова. Серебряный век""","Museum ""Anna Akhmatova. The Silver Century""",гос. районное учреждение,Россия,"198152, Санкт-Петербург, Автовская ул., 14",14,Кировский район,муниципальный округ Автово,Санкт-Петербург,Автовская улица,"Санкт-Петербург, Автовская улица, 14",Автово,Кировско-Выборгская линия,0,59.867213,30.26143,+7(812)7850442;,http://akhmatova-museum.ru/,mus_akhmatova@mail.ru,"Музей ""Анна Ахматова. Серебряный век"" - первый (и долгое время единственный) в стране музей, посвященный великому русскому поэту А. Ахматовой и семье Гумилевых.
 Экспозиция музея построена в хронологической последовательности и имеет 9 экспозиционных залов: ""Царское"", ""Слепнево"", ""Бродячая собака"", ""Путешествие Н.С. Гумилева"", ""Петербург"", ""Реквием"", ""Комарово"", ""Поэма без героя"", ""Комната памяти"". Музей обладает уникальными экспонатами, единственными портретами как Ахматовой, так и Гумилева, раритетной мебелью, фарфором, скульптурой, книгами с автографами А.А. Ахматовой и книгами из личной библиотеки поэта.","his is the first one in the country and for a long time the only one of its kind, dedicated to the memory of the great Russian poetess Anna Akhmatova. The Museum display is implemented in chronological succession and owns in exposition 6 rooms (""Tsarskoe"", ""Slepnevo"", ""Gumilev"", ""Petersburg 1"", ""Petersburg 2"", ""Poem Without Hero""). The Museum possesses the unique exhibits - portraits as the only one of its kind both of Akhmatova and Gumilev, parity furniture, porcelaine, sculpture, books with Anna Akhmatova's autographes and books from her private collection. The Museum carries on a considerable cultural and educational works destined for all the ages",,,"Понедельник-четверг с 10.00 до 18.00, пятница - с 10.00 до 17.00, суббота с 10.00 до 16.30, воскресенье - выходной",0,59.868248,30.268239,1037811047340,7805003350
